userName,score,at,content
Eko Sugiarto,5,2026-05-01 22:15:16,istimewa
Es Teler,1,2026-05-01 20:32:15,"bug lirik, harusnya berubah pada saat lagu selanjutnya tapi ini tidak, malah Mash di lirik lagu sebelumnya dan saya tidak suka penempatan lirik disitu jika bisa dikembalikan seperti dulu, tolong lakukan."
Farhan Valentino,1,2026-05-01 17:46:29,"kenapa keluar apk lagu nya berhenti,mending di YouTube nya sekalian kalo harus berlangganan"
Rongko Satako,5,2026-05-01 17:18:00,sangat menarik soppppp
Widjokongko Hananto,5,2026-05-01 17:16:02,good
Well Ua,5,2026-05-01 16:35:07,mantap
Ical Paluci,5,2026-05-01 16:31:51,ok banget trimakasih
Tablet Huawei,5,2026-05-01 16:01:45,Good
Acong Ipong,5,2026-05-01 14:24:06,ok
Awank Music Official,5,2026-05-01 12:52:03,Music MP3 Player
My Slsa,2,2026-05-01 12:17:42,jujur ya app ini tuh bagussss bangetttt tapi sekarang entah kenapa kalau kita habis dengerin satu lagu terus pindah ke lagu satunya liriknya malah masih tetap di lirik lagu sebelumnya. tolong dong developer perbaiki lagi jadi gaenak mau nyanyi malah liriknya gak berubah dari lirik sebelumnya
Fauzi,2,2026-05-01 11:19:01,lagu yang di donlhoad mengaoa harus update trus
aufa123k V,4,2026-05-01 11:16:30,overall bagus bgt ini alterway selain spotify buat dengerin lagu tapi gatau nih yt music gw doang apa yg lain juga punya gw lirik nya bisa error jdi nampilin lirik lagu yg sebelum nya jdi aneh bgt kalo nyanyi plis kalo ini bug perbaikin 👍👍
51nty4 Bel4,5,2026-05-01 11:13:41,berikan ke mudahan ngakseskam musik syh
